Model A (Base DistilmBERT),Model B (DAPT-DistilmBERT),Model C (XLM-R Base),Model D (Optimized DAPT)
93.21970000019064,93.4306999997716,186.57249999978376,31.062000000019907
93.38230000003023,93.21680000039123,185.96490000027188,31.340800000180025
93.8920000003236,92.13619999991352,187.1603999998115,30.63979999978983
93.23790000007648,93.14229999972667,186.22309999955178,30.811599999651662
94.39500000007683,93.0329999996502,186.0433000001649,30.423400000017864
95.46520000003511,93.45750000011321,187.29010000015478,30.770099999699596
97.42069999992964,92.22880000015721,189.66860000000452,31.92959999978484
98.08449999991353,92.36349999991944,184.24469999990833,30.593700000281387
99.80550000000221,92.82450000000608,185.37590000005366,30.44389999968189
97.08899999986897,92.07199999991644,184.33300000015151,29.947200000151497
95.53319999986343,93.39460000001054,186.15120000004026,30.222799999592098
97.45109999994384,93.10329999971145,186.20710000004692,30.190999999831547
99.94199999982811,93.30399999998917,184.2396000001827,30.700899999828835
95.32409999974334,94.22390000008818,186.09190000006492,30.610599999818078
98.24200000002747,94.73669999988488,187.56400000029316,30.825000000277214
96.5278999997281,95.76819999983854,187.7506999999241,30.62899999986257
97.1932000002198,94.63420000020051,185.58170000005703,30.514399999901798
97.73439999980837,92.29419999974198,186.1426999998912,30.643699999927776
100.06999999995969,92.75750000006155,184.53760000011243,31.27630000017234
97.20470000002024,94.93380000003526,186.48679999978413,30.321100000037404
93.85890000021391,93.5301000004074,185.25599999975384,30.334200000197598
99.21669999994265,92.34550000019226,187.39789999972345,30.3990999996131
99.01339999987613,92.11389999973107,187.84199999981865,30.648000000383036
97.66880000006495,93.10610000011366,186.44320000021253,31.306599999879836
98.92199999967488,92.22499999987122,184.63470000006055,31.778200000189827
94.61349999992308,92.33180000001084,184.89169999975275,30.69950000008248
92.79430000015054,92.4724999999853,184.79130000014266,30.57760000001508
93.23630000017147,92.71820000003572,186.53079999967304,30.584799999815004
96.18000000000393,93.0223999998816,185.92109999963213,30.41799999982686
93.98319999991145,94.49049999966519,185.9982000000855,30.57489999991958
95.98260000029768,94.1834000000199,187.4537000003329,31.69430000025386
100.00590000026932,94.32229999993069,185.8615999999529,30.809400000180176
93.86499999982334,93.27239999993253,187.15960000008636,30.973700000231474
93.43970000008994,92.51949999998033,186.43939999992654,31.737799999973504
93.74560000014753,94.56689999979062,185.71020000035787,31.57499999997526
93.4890000003179,93.78680000008899,185.01940000032846,33.109699999840814
94.52099999998609,92.46179999991,187.77579999959926,32.231599999704486
92.43250000008629,93.31639999982144,187.22200000001976,31.160499999714375
94.23849999984668,94.60020000005898,187.7222999996775,35.02130000015313
94.62110000004031,92.56749999985914,187.60930000007647,39.15899999992689
92.9588000003605,93.64670000013575,187.15689999999086,39.07570000001215
94.39079999992828,92.48489999981757,187.12540000024092,37.38179999982094
93.15809999998237,92.16850000029808,189.50190000032308,32.25650000013047
94.294600000012,93.40879999990648,186.49009999990085,32.65049999981784
93.34339999986696,95.91060000002471,186.76119999963703,31.385900000259426
94.69080000008034,92.96790000007604,186.66720000010173,31.597300000157702
92.28540000003704,92.55220000022746,187.82510000028196,30.589700000291487
92.10829999983616,93.23919999997088,186.67880000020887,30.76409999994212
92.58589999990363,93.23549999999159,184.67379999992772,31.5442000000985
93.80209999972067,93.66670000008526,187.59289999979956,31.757400000060443
92.14219999967099,93.85380000003352,186.2599000000955,30.731399999694986
93.26959999998508,92.51549999999042,185.47910000006596,30.913799999780167
93.76500000007582,94.20010000030743,189.30589999990843,31.53569999994943
94.33409999974174,93.80270000019664,196.88540000015564,31.00270000004457
95.90590000016164,106.15790000019842,198.01030000007813,31.24980000029609
93.8733000002685,97.99249999969106,194.8541000001569,31.390299999657145
93.48260000024311,96.87410000015007,194.13880000001882,32.73730000000796
92.80340000032083,96.67020000006232,195.60699999965436,31.09119999999166
92.70919999971738,98.9676999997755,190.5743000002076,30.42109999978493
93.09440000015456,96.85450000006313,196.50940000019546,31.91190000006827
94.86550000019633,101.29330000017944,192.40880000006655,31.13789999997607
92.77179999980945,95.45230000003357,189.76619999966715,30.898399999841786
92.5136000000748,97.20100000004095,190.94600000016726,32.74249999958556
92.94100000033723,96.42540000004374,185.38919999991776,31.59830000004149
93.89690000034534,94.54989999994723,187.03149999964808,31.29480000006879
94.41060000017387,93.28680000044187,184.68189999975948,31.02840000019569
94.19210000032763,97.13929999998072,185.4833000002145,30.586999999741238
93.61030000036408,94.28320000006352,185.0506000000678,30.628600000000006
92.60710000035033,97.65329999981986,186.04370000002746,31.68050000022049
92.81629999986762,95.44610000011744,184.71709999994346,31.697599999915838
92.93949999982942,99.3610999998964,185.24380000008023,30.894500000158587
97.14800000028845,97.78890000006868,184.4703000001573,30.185900000105903
94.54410000034841,97.5020000000768,183.01060000021607,30.12899999976071
95.0249999996231,93.25970000008965,183.91569999994317,30.196900000191818
93.24939999987691,94.44750000011481,187.51449999990655,30.551999999715918
94.6656000000985,92.94520000003104,186.0396000001856,30.8524000001853
93.82460000006176,92.98820000003616,186.16470000006302,30.0081999998838
94.23340000012104,93.72510000002876,189.51530000003913,29.601799999909417
93.4068000001389,96.27180000006774,187.3540999999932,29.797599999710656
92.8460999998606,100.58410000010554,187.15659999998024,31.085499999790045
93.88450000005832,100.19499999998516,184.76879999980156,31.09919999997146
93.6016999999083,98.3872000001611,184.96950000007928,32.89630000017496
93.0596000002879,94.06630000012228,184.60920000006809,31.68699999969249
94.39290000000256,92.08179999995991,185.1195999997799,31.437199999800214
94.93040000006658,92.131899999913,184.73569999969186,30.9042000003501
93.05320000021311,97.2791999997753,184.94790000022476,30.444900000020425
94.20939999972688,98.18119999999908,185.1041999998415,30.9066999998322
92.92850000019826,97.9418000001715,184.71609999960492,31.72199999971781
93.83260000004157,100.02720000011323,183.4356999997908,30.372300000180985
93.39749999980995,92.50870000005307,184.75339999986318,29.867100000046776
93.86450000010882,92.94240000008358,186.7431000000579,29.901100000188308
92.57410000009259,93.07369999987714,182.9048999998122,30.062100000122882
93.78880000031131,92.52599999990707,184.24010000035196,30.120500000066386
93.87389999983498,93.31810000003316,186.48279999979422,32.041599999956816
93.16379999972924,92.41500000007363,185.958699999901,31.144200000198907
95.42029999965962,92.58290000025227,187.11380000013378,29.845000000022992
93.58430000020235,92.12679999973261,185.79899999986083,30.37610000001223
95.98350000032951,92.77030000021114,185.21899999996094,29.9128000001474
92.83980000009251,92.30780000007144,185.43599999975413,29.902499999934662
94.84089999978096,93.60400000014124,184.0661999999611,29.883500000323693
93.42319999996107,93.17539999983637,185.16540000018722,30.90429999974731
93.13639999982115,93.5114000003523,186.56400000008944,30.606400000124268
95.17460000006395,94.08819999998741,185.8841999996912,30.07979999983945
95.55200000022523,91.9992999997703,184.55859999994573,30.129000000215456
93.1351999997787,93.04460000021209,186.14460000026156,29.938099999981205
93.80939999982729,93.25519999993048,186.25890000021172,29.96419999999489
93.13699999984237,93.33479999986594,187.74600000006103,29.884600000059436
94.14310000011028,92.6659000001564,185.40919999986727,29.762699999992037
94.31630000017321,92.7350000001752,184.41819999998188,29.928500000096392
93.91090000008262,92.31099999988146,185.39590000000317,30.65649999962261
93.70519999993121,92.76520000003075,186.62169999970502,30.49109999983557
95.14919999992344,92.90839999994205,184.21279999984108,32.76950000008583
94.56750000026659,92.4340999999913,185.1763999998184,30.193900000085705
95.13960000003863,93.27389999998559,185.33919999981663,30.494699999962904
